molecule,api_manufacturer_count,api_concentration_risk,api_india_china_pct,api_single_source,api_india_count,api_china_count,api_uk_eu_count,us_shortage_active,us_shortage_total
rasagiline,0,UNKNOWN,-1,0,0,0,0,0,0
midodrine,0,UNKNOWN,-1,0,0,0,0,0,7
rosuvastatin,0,UNKNOWN,-1,0,0,0,0,0,0
topiramate,0,UNKNOWN,-1,0,0,0,0,0,5
glycopyrronium,0,UNKNOWN,-1,0,0,0,0,0,0
sevelamer,0,UNKNOWN,-1,0,0,0,0,0,0
cabergoline,0,UNKNOWN,-1,0,0,0,0,0,0
amitriptyline,0,UNKNOWN,-1,0,0,0,0,0,0
co-dydramol,0,UNKNOWN,-1,0,0,0,0,0,0
rabeprazole,0,UNKNOWN,-1,0,0,0,0,0,0
bicalutamide,0,UNKNOWN,-1,0,0,0,0,0,0
fluconazole,0,UNKNOWN,-1,0,0,0,0,0,0
hydralazine,0,UNKNOWN,-1,0,0,0,0,0,0
acamprosate,0,UNKNOWN,-1,0,0,0,0,0,0
cetirizine,0,UNKNOWN,-1,0,0,0,0,0,0
fesoterodine,0,UNKNOWN,-1,0,0,0,0,0,0
rivastigmine,0,UNKNOWN,-1,0,0,0,0,0,0
tolbutamide,0,UNKNOWN,-1,0,0,0,0,0,0
entacapone,0,UNKNOWN,-1,0,0,0,0,0,0
risedronate,0,UNKNOWN,-1,0,0,0,0,0,0
ezetimibe,0,UNKNOWN,-1,0,0,0,0,0,3
nifedipine,0,UNKNOWN,-1,0,0,0,0,0,0
zonisamide,0,UNKNOWN,-1,0,0,0,0,0,0
diamorphine,0,UNKNOWN,-1,0,0,0,0,0,0
enalapril,0,UNKNOWN,-1,0,0,0,0,0,0
tamoxifen,0,UNKNOWN,-1,0,0,0,0,0,0
fludrocortisone,0,UNKNOWN,-1,0,0,0,0,0,0
melatonin,0,UNKNOWN,-1,0,0,0,0,0,0
ursodeoxycholic,0,UNKNOWN,-1,0,0,0,0,0,0
doxycycline,3,HIGH,33,0,1,0,2,0,6
tizanidine,0,UNKNOWN,-1,0,0,0,0,0,0
aciclovir,0,UNKNOWN,-1,0,0,0,0,0,0
trandolapril,0,UNKNOWN,-1,0,0,0,0,0,0
rivaroxaban,0,UNKNOWN,-1,0,0,0,0,0,0
lacosamide,0,UNKNOWN,-1,0,0,0,0,0,0
tranexamic,0,UNKNOWN,-1,0,0,0,0,0,0
naratriptan,0,UNKNOWN,-1,0,0,0,0,0,0
dexamfetamine,0,UNKNOWN,-1,0,0,0,0,0,0
atenolol,0,UNKNOWN,-1,0,0,0,0,0,0
dabigatran,0,UNKNOWN,-1,0,0,0,0,0,0
olmesartan,0,UNKNOWN,-1,0,0,0,0,0,15
doxazosin,0,UNKNOWN,-1,0,0,0,0,0,0
salbutamol,0,UNKNOWN,-1,0,0,0,0,0,0
pantoprazole,0,UNKNOWN,-1,0,0,0,0,0,0
lisinopril,0,UNKNOWN,-1,0,0,0,0,0,0
donepezil,0,UNKNOWN,-1,0,0,0,0,0,0
meloxicam,0,UNKNOWN,-1,0,0,0,0,0,0
zopiclone,0,UNKNOWN,-1,0,0,0,0,0,0
co-trimoxazole,0,UNKNOWN,-1,0,0,0,0,0,0
bisacodyl,0,UNKNOWN,-1,0,0,0,0,0,0
metoclopramide,0,UNKNOWN,-1,0,0,0,0,0,0
chlorphenamine,0,UNKNOWN,-1,0,0,0,0,0,0
sumatriptan,0,UNKNOWN,-1,0,0,0,0,0,2
benzydamine,0,UNKNOWN,-1,0,0,0,0,0,0
docusate,0,UNKNOWN,-1,0,0,0,0,0,0
ibuprofen,0,UNKNOWN,-1,0,0,0,0,0,0
